quality,interval + next_quality,count,,quality,interval,next_quality,count
major-sixth,4 major-seventh,1,,major-sixth,4,major-seventh,1
major-sixth,11 dominant,17,,major-sixth,11,dominant,17
major-sixth,7 dominant-13th,1,,major-sixth,7,dominant-13th,1
major-sixth,1 dominant,6,,major-sixth,1,dominant,6
major-sixth,7 major,1,,major-sixth,7,major,1
major-sixth,0 major,8,,major-sixth,0,major,8
major-sixth,10 major-seventh,1,,major-sixth,10,major-seventh,1
major-sixth,5 dominant,30,,major-sixth,5,dominant,30
major-sixth,0 dominant-ninth,1,,major-sixth,0,dominant-ninth,1
major-sixth,6 diminished,1,,major-sixth,6,diminished,1
major-sixth,0 augmented,17,,major-sixth,0,augmented,17
major-sixth,10 minor-seventh,10,,major-sixth,10,minor-seventh,10
major-sixth,3 dominant-13th,1,,major-sixth,3,dominant-13th,1
major-sixth,8 major,2,,major-sixth,8,major,2
major-sixth,10 major-sixth,9,,major-sixth,10,major-sixth,9
major-sixth,2 major-sixth,5,,major-sixth,2,major-sixth,5
major-sixth,9 major-sixth,1,,major-sixth,9,major-sixth,1
major-sixth,8 dominant,12,,major-sixth,8,dominant,12
major-sixth,5 minor,1,,major-sixth,5,minor,1
major-sixth,5 major-seventh,6,,major-sixth,5,major-seventh,6
major-sixth,6 dominant,1,,major-sixth,6,dominant,1
major-sixth,3 diminished,2,,major-sixth,3,diminished,2
major-sixth,0 diminished-seventh,1,,major-sixth,0,diminished-seventh,1
major-sixth,3 minor-seventh,7,,major-sixth,3,minor-seventh,7
major-sixth,8 minor-seventh,1,,major-sixth,8,minor-seventh,1
major-sixth,1 suspended-fourth,1,,major-sixth,1,suspended-fourth,1
major-sixth,1 major-sixth,6,,major-sixth,1,major-sixth,6
major-sixth,6 major-sixth,1,,major-sixth,6,major-sixth,1
major-sixth,11 major-sixth,1,,major-sixth,11,major-sixth,1
major-sixth,11 major-seventh,3,,major-sixth,11,major-seventh,3
major-sixth,7 diminished-seventh,3,,major-sixth,7,diminished-seventh,3
major-sixth,1 major,1,,major-sixth,1,major,1
dominant-ninth,3 minor-sixth,6,,dominant-ninth,3,minor-sixth,6
dominant-ninth,5 dominant,13,,dominant-ninth,5,dominant,13
dominant-ninth,5 minor-seventh,17,,dominant-ninth,5,minor-seventh,17
dominant-ninth,0 minor-seventh,8,,dominant-ninth,0,minor-seventh,8
dominant-ninth,0 dominant-ninth,13,,dominant-ninth,0,dominant-ninth,13
dominant-ninth,5 dominant-ninth,6,,dominant-ninth,5,dominant-ninth,6
dominant-ninth,9 minor-seventh,3,,dominant-ninth,9,minor-seventh,3
dominant-ninth,5 major-seventh,4,,dominant-ninth,5,major-seventh,4
dominant-ninth,6 minor-seventh,10,,dominant-ninth,6,minor-seventh,10
dominant-ninth,2 major-seventh,5,,dominant-ninth,2,major-seventh,5
dominant-ninth,10 dominant-ninth,1,,dominant-ninth,10,dominant-ninth,1
dominant-ninth,11 dominant,6,,dominant-ninth,11,dominant,6
dominant-ninth,0 dominant,7,,dominant-ninth,0,dominant,7
dominant-ninth,7 minor-ninth,1,,dominant-ninth,7,minor-ninth,1
dominant-ninth,11 minor-seventh,3,,dominant-ninth,11,minor-seventh,3
dominant-ninth,11 major-ninth,2,,dominant-ninth,11,major-ninth,2
dominant-ninth,2 minor-ninth,1,,dominant-ninth,2,minor-ninth,1
dominant-ninth,11 minor-ninth,18,,dominant-ninth,11,minor-ninth,18
dominant-ninth,9 dominant,5,,dominant-ninth,9,dominant,5
dominant-ninth,2 major-sixth,4,,dominant-ninth,2,major-sixth,4
dominant-ninth,5 major-ninth,2,,dominant-ninth,5,major-ninth,2
dominant-ninth,5 major-sixth,16,,dominant-ninth,5,major-sixth,16
dominant-ninth,10 dominant,1,,dominant-ninth,10,dominant,1
dominant-ninth,5 suspended-fourth,1,,dominant-ninth,5,suspended-fourth,1
dominant-ninth,3 major,1,,dominant-ninth,3,major,1
dominant-ninth,2 minor-seventh,3,,dominant-ninth,2,minor-seventh,3
dominant-ninth,5 minor-ninth,1,,dominant-ninth,5,minor-ninth,1
dominant-ninth,8 dominant-ninth,1,,dominant-ninth,8,dominant-ninth,1
dominant-ninth,11 major-seventh,9,,dominant-ninth,11,major-seventh,9
dominant-ninth,11 major-sixth,1,,dominant-ninth,11,major-sixth,1
dominant-ninth,6 dominant,4,,dominant-ninth,6,dominant,4
dominant-ninth,0 minor-sixth,2,,dominant-ninth,0,minor-sixth,2
dominant-ninth,4 minor-sixth,2,,dominant-ninth,4,minor-sixth,2
dominant-ninth,9 suspended-fourth,1,,dominant-ninth,9,suspended-fourth,1
dominant-ninth,6 dominant-ninth,3,,dominant-ninth,6,dominant-ninth,3
dominant-ninth,11 dominant-ninth,7,,dominant-ninth,11,dominant-ninth,7
dominant-ninth,5 dominant-13th,7,,dominant-ninth,5,dominant-13th,7
dominant-ninth,7 minor-seventh,1,,dominant-ninth,7,minor-seventh,1
dominant-ninth,4 minor-seventh,2,,dominant-ninth,4,minor-seventh,2
dominant-ninth,10 minor-seventh,1,,dominant-ninth,10,minor-seventh,1
dominant-ninth,11 minor,3,,dominant-ninth,11,minor,3
dominant-ninth,2 dominant-ninth,2,,dominant-ninth,2,dominant-ninth,2
dominant-ninth,0 major-seventh,2,,dominant-ninth,0,major-seventh,2
dominant-ninth,0 dominant-13th,1,,dominant-ninth,0,dominant-13th,1
dominant-ninth,11 suspended-fourth,1,,dominant-ninth,11,suspended-fourth,1
dominant-ninth,8 minor-ninth,1,,dominant-ninth,8,minor-ninth,1
dominant-ninth,2 major,2,,dominant-ninth,2,major,2
dominant-ninth,1 minor-seventh,1,,dominant-ninth,1,minor-seventh,1
minor-sixth,9 dominant-ninth,3,,minor-sixth,9,dominant-ninth,3
minor-sixth,7 major,26,,minor-sixth,7,major,26
minor-sixth,11 minor-seventh,18,,minor-sixth,11,minor-seventh,18
minor-sixth,7 major-seventh,31,,minor-sixth,7,major-seventh,31
minor-sixth,1 diminished-seventh,4,,minor-sixth,1,diminished-seventh,4
minor-sixth,0 minor-seventh,8,,minor-sixth,0,minor-seventh,8
minor-sixth,1 dominant,11,,minor-sixth,1,dominant,11
minor-sixth,2 minor-seventh,39,,minor-sixth,2,minor-seventh,39
minor-sixth,5 dominant,6,,minor-sixth,5,dominant,6
minor-sixth,7 major-sixth,7,,minor-sixth,7,major-sixth,7
minor-sixth,2 dominant,14,,minor-sixth,2,dominant,14
minor-sixth,0 minor,9,,minor-sixth,0,minor,9
minor-sixth,9 dominant,8,,minor-sixth,9,dominant,8
minor-sixth,7 minor-seventh,13,,minor-sixth,7,minor-seventh,13
minor-sixth,0 minor-sixth,48,,minor-sixth,0,minor-sixth,48
minor-sixth,9 minor-seventh,11,,minor-sixth,9,minor-seventh,11
minor-sixth,7 minor,9,,minor-sixth,7,minor,9
minor-sixth,0 minor-11th,1,,minor-sixth,0,minor-11th,1
minor-sixth,11 major,1,,minor-sixth,11,major,1
minor-sixth,4 minor-ninth,1,,minor-sixth,4,minor-ninth,1
minor-sixth,3 diminished,1,,minor-sixth,3,diminished,1
minor-sixth,10 minor-seventh,4,,minor-sixth,10,minor-seventh,4
minor-sixth,5 minor-seventh,4,,minor-sixth,5,minor-seventh,4
minor-sixth,10 dominant,2,,minor-sixth,10,dominant,2
minor-sixth,11 diminished-seventh,1,,minor-sixth,11,diminished-seventh,1
minor-sixth,5 minor-sixth,6,,minor-sixth,5,minor-sixth,6
minor-sixth,7 dominant,8,,minor-sixth,7,dominant,8
minor-sixth,7 minor-sixth,4,,minor-sixth,7,minor-sixth,4
minor-sixth,0 dominant,2,,minor-sixth,0,dominant,2
minor-sixth,4 major-sixth,1,,minor-sixth,4,major-sixth,1
minor-sixth,8 dominant,2,,minor-sixth,8,dominant,2
minor-sixth,8 dominant-ninth,3,,minor-sixth,8,dominant-ninth,3
minor-sixth,3 dominant,1,,minor-sixth,3,dominant,1
minor-sixth,3 minor-seventh,2,,minor-sixth,3,minor-seventh,2
minor-sixth,8 major-seventh,1,,minor-sixth,8,major-seventh,1
minor-sixth,3 major-seventh,4,,minor-sixth,3,major-seventh,4
minor-sixth,0 major-sixth,2,,minor-sixth,0,major-sixth,2
minor-sixth,11 dominant,4,,minor-sixth,11,dominant,4
minor-sixth,11 minor-ninth,3,,minor-sixth,11,minor-ninth,3
minor-sixth,5 dominant-ninth,5,,minor-sixth,5,dominant-ninth,5
minor-sixth,4 dominant,2,,minor-sixth,4,dominant,2
minor-sixth,4 minor,5,,minor-sixth,4,minor,5
minor-sixth,4 minor-seventh,2,,minor-sixth,4,minor-seventh,2
diminished-seventh,11 minor-seventh,80,,diminished-seventh,11,minor-seventh,80
diminished-seventh,1 minor-sixth,2,,diminished-seventh,1,minor-sixth,2
diminished-seventh,1 minor-seventh,69,,diminished-seventh,1,minor-seventh,69
diminished-seventh,11 major-sixth,9,,diminished-seventh,11,major-sixth,9
diminished-seventh,6 major-sixth,21,,diminished-seventh,6,major-sixth,21
diminished-seventh,1 dominant,10,,diminished-seventh,1,dominant,10
diminished-seventh,6 major-seventh,8,,diminished-seventh,6,major-seventh,8
diminished-seventh,4 dominant,3,,diminished-seventh,4,dominant,3
diminished-seventh,6 major,14,,diminished-seventh,6,major,14
diminished-seventh,0 diminished-seventh,15,,diminished-seventh,0,diminished-seventh,15
diminished-seventh,11 diminished-seventh,3,,diminished-seventh,11,diminished-seventh,3
diminished-seventh,10 dominant,1,,diminished-seventh,10,dominant,1
diminished-seventh,7 suspended-fourth,2,,diminished-seventh,7,suspended-fourth,2
diminished-seventh,1 minor-ninth,1,,diminished-seventh,1,minor-ninth,1
diminished-seventh,11 major-seventh,1,,diminished-seventh,11,major-seventh,1
diminished-seventh,6 minor-seventh,5,,diminished-seventh,6,minor-seventh,5
diminished-seventh,0 major-sixth,4,,diminished-seventh,0,major-sixth,4
diminished-seventh,9 major-sixth,9,,diminished-seventh,9,major-sixth,9
diminished-seventh,0 dominant,2,,diminished-seventh,0,dominant,2
diminished-seventh,7 major,1,,diminished-seventh,7,major,1
diminished-seventh,9 major-seventh,3,,diminished-seventh,9,major-seventh,3
diminished-seventh,10 major-seventh,2,,diminished-seventh,10,major-seventh,2
diminished-seventh,6 dominant,10,,diminished-seventh,6,dominant,10
diminished-seventh,0 major-seventh,7,,diminished-seventh,0,major-seventh,7
diminished-seventh,2 minor-seventh,5,,diminished-seventh,2,minor-seventh,5
diminished-seventh,7 minor-seventh,4,,diminished-seventh,7,minor-seventh,4
diminished-seventh,11 minor-sixth,5,,diminished-seventh,11,minor-sixth,5
diminished-seventh,4 major-seventh,1,,diminished-seventh,4,major-seventh,1
diminished-seventh,9 major,7,,diminished-seventh,9,major,7
diminished-seventh,7 major-sixth,1,,diminished-seventh,7,major-sixth,1
diminished-seventh,10 major-sixth,1,,diminished-seventh,10,major-sixth,1
diminished-seventh,5 dominant,1,,diminished-seventh,5,dominant,1
diminished-seventh,2 major,2,,diminished-seventh,2,major,2
diminished-seventh,3 minor-seventh,1,,diminished-seventh,3,minor-seventh,1
diminished-seventh,10 minor-seventh,10,,diminished-seventh,10,minor-seventh,10
diminished-seventh,4 minor-seventh,1,,diminished-seventh,4,minor-seventh,1
diminished-seventh,4 major,1,,diminished-seventh,4,major,1
diminished-seventh,1 suspended-fourth,1,,diminished-seventh,1,suspended-fourth,1
diminished-seventh,9 dominant,2,,diminished-seventh,9,dominant,2
diminished-seventh,1 minor,1,,diminished-seventh,1,minor,1
diminished-seventh,6 diminished-seventh,1,,diminished-seventh,6,diminished-seventh,1
diminished-seventh,7 dominant,1,,diminished-seventh,7,dominant,1
minor,11 minor-seventh,11,,minor,11,minor-seventh,11
minor,7 major-seventh,10,,minor,7,major-seventh,10
minor,6 minor-seventh,1,,minor,6,minor-seventh,1
minor,5 dominant-13th,1,,minor,5,dominant-13th,1
minor,0 minor-sixth,7,,minor,0,minor-sixth,7
minor,1 dominant,4,,minor,1,dominant,4
minor,7 minor-seventh,1,,minor,7,minor-seventh,1
minor,2 minor-seventh,45,,minor,2,minor-seventh,45
minor,0 minor-seventh,33,,minor,0,minor-seventh,33
minor,8 minor-sixth,7,,minor,8,minor-sixth,7
minor,0 minor,111,,minor,0,minor,111
minor,9 minor-seventh,25,,minor,9,minor-seventh,25
minor,8 major-seventh,2,,minor,8,major-seventh,2
minor,5 dominant,21,,minor,5,dominant,21
minor,10 minor-seventh,6,,minor,10,minor-seventh,6
minor,8 dominant,9,,minor,8,dominant,9
minor,7 dominant,26,,minor,7,dominant,26
minor,0 dominant,8,,minor,0,dominant,8
minor,3 major-seventh,2,,minor,3,major-seventh,2
minor,11 dominant,2,,minor,11,dominant,2
minor,2 dominant,20,,minor,2,dominant,20
minor,7 major,9,,minor,7,major,9
minor,7 minor,6,,minor,7,minor,6
minor,1 major,5,,minor,1,major,5
minor,5 minor,11,,minor,5,minor,11
minor,3 minor,2,,minor,3,minor,2
minor,5 minor-sixth,11,,minor,5,minor-sixth,11
minor,5 minor-seventh,14,,minor,5,minor-seventh,14
minor,9 dominant,5,,minor,9,dominant,5
minor,8 major,5,,minor,8,major,5
minor,5 suspended-fourth,2,,minor,5,suspended-fourth,2
minor,4 major,2,,minor,4,major,2
minor,10 major,5,,minor,10,major,5
minor,4 diminished-seventh,1,,minor,4,diminished-seventh,1
minor,11 minor,4,,minor,11,minor,4
minor,8 minor-seventh,1,,minor,8,minor-seventh,1
minor,1 major-seventh,5,,minor,1,major-seventh,5
minor,10 minor,6,,minor,10,minor,6
minor,2 minor,6,,minor,2,minor,6
minor,3 major,8,,minor,3,major,8
minor,5 major,2,,minor,5,major,2
minor,3 dominant,6,,minor,3,dominant,6
minor,0 major-sixth,1,,minor,0,major-sixth,1
minor,1 minor,3,,minor,1,minor,3
minor,1 minor-seventh,3,,minor,1,minor-seventh,3
minor,6 diminished,1,,minor,6,diminished,1
minor,10 suspended-fourth,1,,minor,10,suspended-fourth,1
minor,2 major-seventh,2,,minor,2,major-seventh,2
minor,3 diminished-seventh,1,,minor,3,diminished-seventh,1
minor,3 minor-sixth,1,,minor,3,minor-sixth,1
minor,6 dominant-ninth,1,,minor,6,dominant-ninth,1
minor,4 minor-ninth,1,,minor,4,minor-ninth,1
minor,7 minor-11th,1,,minor,7,minor-11th,1
minor,7 major-sixth,3,,minor,7,major-sixth,3
minor,6 diminished-seventh,1,,minor,6,diminished-seventh,1
diminished,1 minor-seventh,5,,diminished,1,minor-seventh,5
diminished,11 minor-seventh,3,,diminished,11,minor-seventh,3
diminished,6 dominant,2,,diminished,6,dominant,2
diminished,1 suspended-fourth,1,,diminished,1,suspended-fourth,1
diminished,1 minor-ninth,1,,diminished,1,minor-ninth,1
diminished,1 minor,1,,diminished,1,minor,1
diminished,9 major,4,,diminished,9,major,4
diminished,8 minor,1,,diminished,8,minor,1
diminished,11 major-seventh,2,,diminished,11,major-seventh,2
suspended-fourth,0 dominant,43,,suspended-fourth,0,dominant,43
suspended-fourth,6 major-seventh,1,,suspended-fourth,6,major-seventh,1
suspended-fourth,5 major-seventh,15,,suspended-fourth,5,major-seventh,15
suspended-fourth,2 major-seventh,3,,suspended-fourth,2,major-seventh,3
suspended-fourth,0 suspended-fourth,57,,suspended-fourth,0,suspended-fourth,57
suspended-fourth,9 suspended-fourth,2,,suspended-fourth,9,suspended-fourth,2
suspended-fourth,4 minor-seventh,1,,suspended-fourth,4,minor-seventh,1
suspended-fourth,5 minor-seventh,4,,suspended-fourth,5,minor-seventh,4
suspended-fourth,5 major-13th,1,,suspended-fourth,5,major-13th,1
suspended-fourth,5 diminished-seventh,3,,suspended-fourth,5,diminished-seventh,3
suspended-fourth,9 minor-seventh,3,,suspended-fourth,9,minor-seventh,3
suspended-fourth,0 major-sixth,1,,suspended-fourth,0,major-sixth,1
suspended-fourth,11 minor-seventh,2,,suspended-fourth,11,minor-seventh,2
suspended-fourth,6 diminished-seventh,1,,suspended-fourth,6,diminished-seventh,1
suspended-fourth,8 major-seventh,1,,suspended-fourth,8,major-seventh,1
suspended-fourth,2 major,2,,suspended-fourth,2,major,2
suspended-fourth,8 major,3,,suspended-fourth,8,major,3
suspended-fourth,11 major-seventh,1,,suspended-fourth,11,major-seventh,1
suspended-fourth,10 major-seventh,2,,suspended-fourth,10,major-seventh,2
suspended-fourth,3 suspended-fourth,1,,suspended-fourth,3,suspended-fourth,1
suspended-fourth,10 minor-seventh,1,,suspended-fourth,10,minor-seventh,1
suspended-fourth,8 suspended-fourth,2,,suspended-fourth,8,suspended-fourth,2
suspended-fourth,4 suspended-fourth,2,,suspended-fourth,4,suspended-fourth,2
suspended-fourth,11 suspended-fourth,2,,suspended-fourth,11,suspended-fourth,2
suspended-fourth,11 dominant,2,,suspended-fourth,11,dominant,2
suspended-fourth,5 major-sixth,12,,suspended-fourth,5,major-sixth,12
suspended-fourth,5 major,17,,suspended-fourth,5,major,17
suspended-fourth,0 major-seventh,2,,suspended-fourth,0,major-seventh,2
suspended-fourth,7 major,1,,suspended-fourth,7,major,1
suspended-fourth,0 dominant-13th,3,,suspended-fourth,0,dominant-13th,3
suspended-fourth,5 dominant,3,,suspended-fourth,5,dominant,3
suspended-fourth,0 dominant-ninth,1,,suspended-fourth,0,dominant-ninth,1
suspended-fourth,11 minor-11th,1,,suspended-fourth,11,minor-11th,1
suspended-fourth,1 diminished-seventh,2,,suspended-fourth,1,diminished-seventh,2
suspended-fourth,4 minor-11th,2,,suspended-fourth,4,minor-11th,2
suspended-fourth,2 dominant,3,,suspended-fourth,2,dominant,3
suspended-fourth,2 minor-ninth,1,,suspended-fourth,2,minor-ninth,1
suspended-fourth,0 minor-seventh,1,,suspended-fourth,0,minor-seventh,1
suspended-fourth,6 minor-seventh,1,,suspended-fourth,6,minor-seventh,1
suspended-fourth,8 dominant,1,,suspended-fourth,8,dominant,1
suspended-fourth,1 major-seventh,1,,suspended-fourth,1,major-seventh,1
suspended-fourth,9 dominant,1,,suspended-fourth,9,dominant,1
suspended-fourth,10 dominant,1,,suspended-fourth,10,dominant,1
dominant-13th,5 minor-seventh,6,,dominant-13th,5,minor-seventh,6
dominant-13th,7 minor-ninth,1,,dominant-13th,7,minor-ninth,1
dominant-13th,11 dominant,7,,dominant-13th,11,dominant,7
dominant-13th,0 dominant-13th,37,,dominant-13th,0,dominant-13th,37
dominant-13th,5 minor,1,,dominant-13th,5,minor,1
dominant-13th,0 dominant,12,,dominant-13th,0,dominant,12
dominant-13th,5 major-sixth,6,,dominant-13th,5,major-sixth,6
dominant-13th,4 minor-seventh,15,,dominant-13th,4,minor-seventh,15
dominant-13th,9 dominant,2,,dominant-13th,9,dominant,2
dominant-13th,5 dominant-13th,3,,dominant-13th,5,dominant-13th,3
dominant-13th,7 minor-seventh,7,,dominant-13th,7,minor-seventh,7
dominant-13th,3 dominant-ninth,2,,dominant-13th,3,dominant-ninth,2
dominant-13th,5 diminished-seventh,3,,dominant-13th,5,diminished-seventh,3
dominant-13th,0 minor-seventh,7,,dominant-13th,0,minor-seventh,7
dominant-13th,11 dominant-13th,7,,dominant-13th,11,dominant-13th,7
dominant-13th,5 major-ninth,3,,dominant-13th,5,major-ninth,3
dominant-13th,7 major,1,,dominant-13th,7,major,1
dominant-13th,5 major-seventh,9,,dominant-13th,5,major-seventh,9
dominant-13th,11 major-seventh,3,,dominant-13th,11,major-seventh,3
dominant-13th,2 dominant-13th,12,,dominant-13th,2,dominant-13th,12
dominant-13th,10 dominant-13th,9,,dominant-13th,10,dominant-13th,9
dominant-13th,5 minor-11th,3,,dominant-13th,5,minor-11th,3
dominant-13th,6 major-seventh,2,,dominant-13th,6,major-seventh,2
dominant-13th,7 dominant-ninth,3,,dominant-13th,7,dominant-ninth,3
dominant-13th,9 minor-seventh,4,,dominant-13th,9,minor-seventh,4
dominant-13th,5 dominant-ninth,2,,dominant-13th,5,dominant-ninth,2
dominant-13th,2 dominant,3,,dominant-13th,2,dominant,3
dominant-13th,1 dominant-13th,1,,dominant-13th,1,dominant-13th,1
dominant-13th,7 dominant-13th,1,,dominant-13th,7,dominant-13th,1
dominant-13th,10 dominant,1,,dominant-13th,10,dominant,1
dominant-13th,4 dominant,2,,dominant-13th,4,dominant,2
dominant-13th,11 minor-sixth,1,,dominant-13th,11,minor-sixth,1
dominant-13th,9 minor-ninth,1,,dominant-13th,9,minor-ninth,1
dominant-13th,2 major-seventh,1,,dominant-13th,2,major-seventh,1
dominant-13th,1 minor-sixth,1,,dominant-13th,1,minor-sixth,1
dominant-13th,6 minor-seventh,2,,dominant-13th,6,minor-seventh,2
dominant-13th,11 major-ninth,1,,dominant-13th,11,major-ninth,1
dominant-13th,1 minor-ninth,1,,dominant-13th,1,minor-ninth,1
dominant-13th,8 major-seventh,2,,dominant-13th,8,major-seventh,2
dominant-13th,0 suspended-fourth,1,,dominant-13th,0,suspended-fourth,1
dominant-13th,10 major-seventh,1,,dominant-13th,10,major-seventh,1
dominant-13th,8 major,2,,dominant-13th,8,major,2
dominant-13th,1 minor-seventh,1,,dominant-13th,1,minor-seventh,1
dominant-13th,11 minor-11th,1,,dominant-13th,11,minor-11th,1
minor-ninth,5 dominant-ninth,4,,minor-ninth,5,dominant-ninth,4
minor-ninth,0 minor-ninth,31,,minor-ninth,0,minor-ninth,31
minor-ninth,10 major-seventh,1,,minor-ninth,10,major-seventh,1
minor-ninth,6 suspended-fourth,1,,minor-ninth,6,suspended-fourth,1
minor-ninth,5 dominant,7,,minor-ninth,5,dominant,7
minor-ninth,7 minor-ninth,4,,minor-ninth,7,minor-ninth,4
minor-ninth,5 minor-ninth,7,,minor-ninth,5,minor-ninth,7
minor-ninth,10 minor-seventh,2,,minor-ninth,10,minor-seventh,2
minor-ninth,1 dominant-ninth,22,,minor-ninth,1,dominant-ninth,22
minor-ninth,10 minor-ninth,3,,minor-ninth,10,minor-ninth,3
minor-ninth,2 minor-ninth,3,,minor-ninth,2,minor-ninth,3
minor-ninth,8 minor-ninth,3,,minor-ninth,8,minor-ninth,3
minor-ninth,0 minor-seventh,3,,minor-ninth,0,minor-seventh,3
minor-ninth,11 diminished-seventh,4,,minor-ninth,11,diminished-seventh,4
minor-ninth,5 minor-seventh,3,,minor-ninth,5,minor-seventh,3
minor-ninth,11 major-seventh,3,,minor-ninth,11,major-seventh,3
minor-ninth,2 minor-seventh,2,,minor-ninth,2,minor-seventh,2
minor-ninth,5 dominant-13th,7,,minor-ninth,5,dominant-13th,7
minor-ninth,11 minor-seventh,3,,minor-ninth,11,minor-seventh,3
minor-ninth,8 dominant-ninth,1,,minor-ninth,8,dominant-ninth,1
minor-ninth,2 dominant,3,,minor-ninth,2,dominant,3
minor-ninth,2 minor,2,,minor-ninth,2,minor,2
minor-ninth,5 major-seventh,1,,minor-ninth,5,major-seventh,1
minor-ninth,5 major,1,,minor-ninth,5,major,1
minor-ninth,9 minor-seventh,1,,minor-ninth,9,minor-seventh,1
minor-ninth,8 dominant-13th,1,,minor-ninth,8,dominant-13th,1
minor-ninth,4 major,1,,minor-ninth,4,major,1
minor-ninth,0 minor,1,,minor-ninth,0,minor,1
major-ninth,0 major-ninth,9,,major-ninth,0,major-ninth,9
major-ninth,7 minor-seventh,1,,major-ninth,7,minor-seventh,1
major-ninth,9 dominant-ninth,1,,major-ninth,9,dominant-ninth,1
major-ninth,5 dominant-ninth,1,,major-ninth,5,dominant-ninth,1
major-ninth,8 major-ninth,1,,major-ninth,8,major-ninth,1
major-ninth,11 dominant-ninth,12,,major-ninth,11,dominant-ninth,12
major-ninth,0 suspended-fourth,2,,major-ninth,0,suspended-fourth,2
major-ninth,11 minor-seventh,1,,major-ninth,11,minor-seventh,1
major-ninth,6 minor-seventh,3,,major-ninth,6,minor-seventh,3
major-ninth,11 dominant,2,,major-ninth,11,dominant,2
major-ninth,5 dominant,1,,major-ninth,5,dominant,1
major-ninth,6 dominant-ninth,1,,major-ninth,6,dominant-ninth,1
major-ninth,11 major-seventh,2,,major-ninth,11,major-seventh,2
major-ninth,10 major-seventh,2,,major-ninth,10,major-seventh,2
major-ninth,11 minor-11th,1,,major-ninth,11,minor-11th,1
major-ninth,7 dominant-13th,1,,major-ninth,7,dominant-13th,1
major-ninth,4 dominant,1,,major-ninth,4,dominant,1
major-ninth,5 minor-seventh,1,,major-ninth,5,minor-seventh,1
major-ninth,5 dominant-13th,1,,major-ninth,5,dominant-13th,1
major-ninth,1 major-ninth,1,,major-ninth,1,major-ninth,1
augmented,0 major-sixth,8,,augmented,0,major-sixth,8
augmented,0 major,17,,augmented,0,major,17
augmented,5 dominant,1,,augmented,5,dominant,1
augmented,5 major-seventh,1,,augmented,5,major-seventh,1
major-13th,0 major-13th,1,,major-13th,0,major-13th,1
major-13th,1 minor-seventh,1,,major-13th,1,minor-seventh,1
minor-11th,7 minor-ninth,1,,minor-11th,7,minor-ninth,1
minor-11th,1 minor-seventh,2,,minor-11th,1,minor-seventh,2
minor-11th,11 major-seventh,3,,minor-11th,11,major-seventh,3
minor-11th,5 dominant,5,,minor-11th,5,dominant,5
minor-11th,2 dominant-13th,3,,minor-11th,2,dominant-13th,3
minor-11th,11 minor-11th,2,,minor-11th,11,minor-11th,2
minor-11th,2 minor-seventh,2,,minor-11th,2,minor-seventh,2
minor-11th,0 minor-11th,34,,minor-11th,0,minor-11th,34
minor-11th,7 minor-seventh,1,,minor-11th,7,minor-seventh,1
minor-11th,4 minor-11th,4,,minor-11th,4,minor-11th,4
minor-11th,8 minor-11th,4,,minor-11th,8,minor-11th,4
minor-11th,9 minor-11th,4,,minor-11th,9,minor-11th,4
minor-11th,3 minor-11th,3,,minor-11th,3,minor-11th,3
minor-11th,8 dominant,3,,minor-11th,8,dominant,3
minor-11th,5 dominant-13th,1,,minor-11th,5,dominant-13th,1
minor-11th,8 major-seventh,3,,minor-11th,8,major-seventh,3
minor-11th,9 minor-seventh,2,,minor-11th,9,minor-seventh,2
minor-11th,11 suspended-fourth,1,,minor-11th,11,suspended-fourth,1
minor-11th,10 major,8,,minor-11th,10,major,8
minor-11th,7 major,1,,minor-11th,7,major,1
minor-11th,2 minor-11th,1,,minor-11th,2,minor-11th,1
